No.,flow member,Rock type,SiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O,TiO2,P2Os,Total,Mg#
1A,upper,icelandite,56.7,13.1,8.6,5.8,4.8,3,3.4,2.6,l.8,0.2,100,42.7
1B,upper,icelandite,56.7,13.6,7.1,7,4,3,3.8,2.8,1.8,0.2,100,38.5
1C,upper,icelandite,59.5,13.4,7.2,4.8,3,4.1,2.8,3.2,1.8,0.2,100,35.8
1E,upper,icelandite,57.6,13.3,7.5,5.7,4.1,5,2.6,2.3,1.7,0.2,100,40.9
1G,upper,icelandite,59.4,13,6,5.2,4.2,4.8,2.5,3.1,1.8,,100,45.4
1GC7,upper,icelandite,53.9,14.3,8.4,6.1,6.8,2.1,3.7,2.6,1.9,0.2,100,51.1
1GC8,upper,icelandite,54.1,13.5,9.4,5.8,4.4,3.5,1.9,5.3,1.9,0.2,100,39.3
1-TB2,upper,tholeiitic basalt andesite,54.1,14.9,7.4,7.6,4.6,2.6,4.5,2.8,1.4,0.1,100,40.4
1-TB2A,upper,tholeiitic basalt andesite,55.3,13.4,7.6,7.6,3.6,4,3.7,3.1,1.5,0.3,100.1,34.4
1-TB3,upper,tholeiitic basalt andesite,54.3,14.2,9.1,5.2,6.6,2.1,4.3,2.3,1.6,0.3,100,50.9
2B,upper,tholeiitic basalt andesite,53.9,13.5,8.4,6.4,5.6,4,3.8,2.2,1.9,0.3,100,45.7
2C,upper,tholeiitic basalt andesite,53.4,13.2,9,6,5,5.1,3.8,2.3,1.9,0.3,100,42.7
2D,upper,tholeiitic basalt andesite,54.6,13,8.3,6.3,4.8,5,3.6,2.3,1.9,0.2,100,42.3
2E,upper,tholeiitic basalt andesite,53.3,13.5,7.8,7,4.4,7.4,,1.6,1.9,0.3,100,39.7
2GC9,upper,tholeiitic basalt andesite,52.9,13.5,8.6,6.7,5.3,5.4,3.4,2.4,1.6,0.3,100.1,43.5
2-TB4,upper,tholeiitic basalt andesite,53.6,12.6,6.4,8.7,5.1,5,4.3,2.4,1.6,0.3,100,42.5
3A,upper,tholeiitic basalt,53.3,13.3,7.9,5.9,6.3,6.5,3.2,1.7,1.7,0.2,100,50.4
3B,upper,tholeiitic basalt,53.8,13.8,9.9,4.6,4.9,4.9,3.6,2.6,1.7,0.2,100,43.2
3C,upper,tholeiitic basalt,52.8,13.8,7.1,6.8,5.3,6.7,3.4,2,1.8,0.3,100,45.8
3D,upper,tholeiitic basalt,52,14,6.1,8,5.9,5.6,4.1,2.2,1.8,0.3,100,47.9
3E,upper,tholeiitic basalt,53.1,13.9,7.4,6.5,6.8,4.5,4,1.7,1.8,0.3,100,52
3F,upper,tholeiitic basalt,56.1,13.3,8.1,4.7,4.9,4.7,3.7,2.4,1.7,0.4,100,46.2
3G,upper,tholeiitic basalt,52.7,14.1,8.6,5.5,5.4,5.4,4.1,2.2,1.7,0.3,100,46.1
3GC10,upper,tholeiitic basalt,52.1,14.3,5.9,7.9,6.7,6,3.3,1.8,1.8,0.2,100,51.6
3-TB5,upper,tholeiitic basalt,50.6,14.4,6.7,8.2,6.8,6.1,3.4,1.9,1.6,0.3,100,50.1
4D,upper,tholeiitic basalt,52,14.1,6.1,7.2,6,9.1,2.5,1.2,1.6,0.2,100,49.8
4E,upper,tholeiitic basalt,51.8,13.5,5.6,6.8,5.8,11.4,2.3,1.2,1.4,0.2,100,50.7
4GC11,upper,tholeiitic basalt,54.6,13.6,8.9,4.6,4.9,7.7,2.3,1.6,1.6,0.2,100,44.9
4GC12,upper,tholeiitic basalt,53.7,13.5,8.4,5.8,5,7.9,2.4,1.5,1.6,0.2,100,44
5-TB6,upper,icelandite,55.1,15,11.5,3.4,3.4,4.3,3,2.4,1.6,0.3,100,34.2
6-TB7B,upper,icelandite,54.4,14,10.9,4.6,2.8,5,3.4,3,1.6,0.4,100.1,28.9
6-TB7B,upper,icelandite,56.7,12.5,12.4,3.1,2.4,5.4,3,2.5,1.6,0.4,100,26.1
LM1,51.2,,15.7,8.6,5.2,6.1,,5.7,3.5,2.6,1.2,0.17,99.97,49.7
LM2,51.2,,15.2,5.9,6.2,7.1,,7.4,3.8,1.7,1.3,0.18,99.98,56.4
LM3,43.3,,17.1,8.9,3.9,6.5,,17.5,0.2,1.3,1.2,0.16,100.06,53.4
LM4,50.0,,17.5,4.5,6.2,10.3,,4.3,5.0,0.9,1.2,0.12,100.02,67.9
LM5,60.0,,14.0,7.6,2.6,7.0,,1.5,4.6,1.5,I.I,0.15,100.05,60.9
LM6,53.2,,15.8,7.7,4.1,6.2,,9.0,2.2,0.6,I. I,0.14,100.04,54.1
LM7,48.9,,17.7,3.8,2.5,7.0,,14.5,2.7,1.6,1.2,0.14,100.04,71.3
LM8,50.4,,16.7,6.2,5.0,7.2,,9.8,2.6,1.0,1.0,0.09,99.99,58.8
LM9,48.6,,16.2,7.7,6.4,9.1,,5.0,3.6,1.8,1.4,0.19,99.99,58.9
LM10,44.2,,15.9,9.1,4.2,9.9,,13.5,0.4,1.8,0.9,0.13,100.03,62.7
LM11,51.9,,15.4,7.4,4.4,8.2,,5.2,4.3,1.6,1.4,0.17,99.97,60.9
LMTB1,58.6,,13.9,6.9,4.1,7.2,,1.5,6.2,0.2,1.2,0.22,100.02,59.5
