pole_name,age,age_high,age_low,age_unit,age_uncertainty,citations,dir_alpha95,dir_polarity,dir_dec,dir_inc,dir_n_specimens,geologic_classes,geologic_types,height,lat,lithologies,location,lon,site,vgp_lat,vgp_lon,pole_name,dir_k,dir_n_samples,dir_tilt_correction,dir_r,vgp_lat_rev,vgp_lon_rev,vgp_dm,vgp_dp,paleolatitude
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,2.7,r,79.7,-70.5,7.0,Extrusive:Igneous,Lava Flow,11.8,48.8122,Basalt,Simpson Island,272.338,SI1(11.8 to 26.4),-33.09835634604038,49.58832959558589,Osler reverse lower,,,,,33.09835634604038,229.5883295955859,,,-54.6924566006785
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,6.4,r,74.1,-70.3,6.0,Extrusive:Igneous,Lava Flow,116.3,48.8062,Basalt,Simpson Island,272.3366,SI1(116.3 to 118.8),-30.44734854307043,51.83173949252472,Osler reverse lower,,,,,30.44734854307043,231.83173949252472,,,-54.39340971507943
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,6.8,r,87.5,-68.9,5.0,Extrusive:Igneous,Lava Flow,119.7,48.806,Basalt,Simpson Island,272.3366,SI1(119.7 to 122.1),-35.32145606014437,43.91225203827469,Osler reverse lower,,,,,35.32145606014437,223.9122520382747,,,-52.34134641734542
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,4.9,r,75.7,-69.1,6.0,Extrusive:Igneous,Lava Flow,122.1,48.8058,Basalt,Simpson Island,272.3367,SI1(122.1 to 123.7),-29.952659730319805,49.58549453957477,Osler reverse lower,,,,,29.952659730319805,229.58549453957477,,,-52.63009627422685
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,3.9,r,109.8,-66.8,7.0,Extrusive:Igneous,Lava Flow,28.3,48.8107,Basalt,Simpson Island,272.3377,SI1(28.3 to 29.2),-45.769076118920786,30.95445176697899,Osler reverse lower,,,,,45.769076118920786,210.954451766979,,,-49.39678185575174
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,5.7,r,99.7,-66.2,3.0,Extrusive:Igneous,Lava Flow,29.2,48.8104,Basalt,Simpson Island,272.3378,SI1(29.2 to 29.7),-39.62421650690396,34.498032528205556,Osler reverse lower,,,,,39.62421650690396,214.49803252820556,,,-48.5843194261958
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,7.7,r,92.6,-68.1,5.0,Extrusive:Igneous,Lava Flow,33.3,48.81,Basalt,Simpson Island,272.3377,SI1(33.3 to 37.1),-37.24333434307589,40.49722984053466,Osler reverse lower,,,,,37.24333434307589,220.49722984053466,,,-51.20089775698439
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,3.5,r,85.4,-73.3,6.0,Extrusive:Igneous,Lava Flow,40.6,48.8095,Basalt,Simpson Island,272.3374,SI1(40.6 to 42.5),-38.17761055660688,51.6140336928907,Osler reverse lower,,,,,38.17761055660688,231.6140336928907,,,-59.03503203004991
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,4.5,r,77.8,-63.5,6.0,Extrusive:Igneous,Lava Flow,42.5,48.8095,Basalt,Simpson Island,272.3373,SI1(42.5 to 44.4),-25.7599248995217,42.31375941918168,Osler reverse lower,,,,,25.7599248995217,222.31375941918168,,,-45.08138325092736
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,8.7,r,86.1,-64.4,5.0,Extrusive:Igneous,Lava Flow,58.1,48.8086,Basalt,Simpson Island,272.3378,SI1(58.1 to 64.1),-30.81985041506628,38.84568587968823,Osler reverse lower,,,,,30.81985041506628,218.84568587968823,,,-46.22167953854198
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,1.9,r,89.9,-71.9,6.0,Extrusive:Igneous,Lava Flow,87.6,48.8073,Basalt,Simpson Island,272.338,SI1(87.6 to 88.5),-38.99345768820534,47.58898707793429,Osler reverse lower,,,,,38.99345768820534,227.5889870779343,,,-56.8273242320542
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,5.0,r,88.9,-70.0,5.0,Extrusive:Igneous,Lava Flow,88.5,48.8071,Basalt,Simpson Island,272.3381,SI1(88.5 to 89.2),-36.937025291743055,44.932120581975255,Osler reverse lower,,,,,36.937025291743055,224.93212058197525,,,-53.94761126761208
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,7.6,r,87.0,-67.2,5.0,Extrusive:Igneous,Lava Flow,89.2,48.807,Basalt,Simpson Island,272.3382,SI1(89.2 to 91.5),-33.628336150097596,41.82271172540737,Osler reverse lower,,,,,33.628336150097596,221.82271172540737,,,-49.94547571428916
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,3.0,r,82.8,-68.5,6.0,Extrusive:Igneous,Lava Flow,91.5,48.8069,Basalt,Simpson Island,272.3382,SI1(91.5 to 92.6),-32.68448930378713,45.49613062945616,Osler reverse lower,,,,,32.68448930378713,225.49613062945616,,,-51.76821948271131
