tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
CS7-1a	CS7-1		This study	LP-NOMAG		
CS7-2a	CS7-2		This study	LP-NOMAG		
CS7-3a	CS7-3		This study	LP-NOMAG		
CS7-4a	CS7-4		This study	LP-NOMAG		
CS7-5a	CS7-5		This study	LP-NOMAG		
CS7-6a	CS7-6		This study	LP-NOMAG		
CS7-7a	CS7-7		This study	LP-NOMAG		
CS7-8a	CS7-8		This study	LP-NOMAG		
CS7-9a	CS7-9		This study	LP-NOMAG		
CS8-1a	CS8-1		This study	LP-NOMAG		
CS8-2a	CS8-2		This study	LP-NOMAG		
CS8-3a	CS8-3		This study	LP-NOMAG		
CS8-4a	CS8-4		This study	LP-NOMAG		
CS8-5a	CS8-5		This study	LP-NOMAG		
CS8-6a	CS8-6		This study	LP-NOMAG		
CS8-7a	CS8-7		This study	LP-NOMAG		
CS8-8a	CS8-8		This study	LP-NOMAG		
CS8-9a	CS8-9		This study	LP-NOMAG		
CS9-1a	CS9-1		This study	LP-NOMAG		
CS9-2a	CS9-2		This study	LP-NOMAG		
CS9-3a	CS9-3		This study	LP-NOMAG		
CS9-4a	CS9-4		This study	LP-NOMAG		
CS9-5a	CS9-5		This study	LP-NOMAG		
CS9-6a	CS9-6		This study	LP-NOMAG		
CS9-7a	CS9-7		This study	LP-NOMAG		
CS9-8a	CS9-8		This study	LP-NOMAG		
CS10-1a	CS10-1		This study	LP-NOMAG		
CS10-2a	CS10-2		This study	LP-NOMAG		
CS10-3a	CS10-3		This study	LP-NOMAG		
CS10-4a	CS10-4		This study	LP-NOMAG		
CS10-5a	CS10-5		This study	LP-NOMAG		
CS10-6a	CS10-6		This study	LP-NOMAG		
CS10-7a	CS10-7		This study	LP-NOMAG		
CS10-8a	CS10-8		This study	LP-NOMAG		
CS11-1a	CS11-1		This study	LP-NOMAG		
CS11-2a	CS11-2		This study	LP-NOMAG		
CS11-3a	CS11-3		This study	LP-NOMAG		
CS11-4a	CS11-4		This study	LP-NOMAG		
CS11-5a	CS11-5		This study	LP-NOMAG		
CS11-6a	CS11-6		This study	LP-NOMAG		
CS11-7a	CS11-7		This study	LP-NOMAG		
CS11-8a	CS11-8		This study	LP-NOMAG		
CS11-9a	CS11-9		This study	LP-NOMAG		
CS12-1a	CS12-1		This study	LP-NOMAG		
CS12-2a	CS12-2		This study	LP-NOMAG		
CS12-3a	CS12-3		This study	LP-NOMAG		
CS12-4a	CS12-4		This study	LP-NOMAG		
