site,location,samples,specimens,dir_alpha95,dir_comp_name,dir_dec,dir_inc,dir_k,dir_n_samples,dir_n_specimens,dir_n_specimens_lines,dir_n_specimens_planes,dir_polarity,dir_r,dir_tilt_correction,lat,lon,analysts,criteria,software_packages,citations,method_codes,result_quality,vgp_dm,vgp_dp,vgp_lat,vgp_lon
CB1,Grand Canyon,CB1-1:CB1-2:CB1-3:CB1-4:CB1-5:CB1-6:CB1-7:CB1-8,CB1-1a:CB1-2a:CB1-3a:CB1-4a:CB1-5a:CB1-6a:CB1-7a:CB1-8a,3.9,mt,270.3,51.1,200.0,8,8,8,0,t,7.965,100,36.283889,-111.891944,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,5.3,3.6,18.4,184.5
CB2,Grand Canyon,CB2-1:CB2-2:CB2-3:CB2-4:CB2-5:CB2-6:CB2-7:CB2-8,CB2-1a:CB2-2a:CB2-3a:CB2-4a:CB2-5a:CB2-6a:CB2-7a:CB2-8a,3.1,mt,283.3,78.7,329.0,8,8,8,0,n,7.9787,100,36.283611,-111.891944,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,5.9,5.6,38.2,220.8
CB3,Grand Canyon,CB3-1:CB3-2:CB3-3:CB3-4:CB3-6:CB3-7:CB3-8,CB3-1a:CB3-2a:CB3-3a:CB3-4a:CB3-6a:CB3-7a:CB3-8a,8.1,mt,249.3,52.9,56.0,7,7,7,0,t,6.8937,100,36.283333,-111.892778,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,11.2,7.7,5.1,196.5
CB5,Grand Canyon,CB5-1:CB5-2:CB5-3:CB5-4:CB5-5:CB5-6:CB5-7:CB5-8:CB5-9,CB5-1a:CB5-2a:CB5-3a:CB5-4a:CB5-5a:CB5-6a:CB5-7a:CB5-8a:CB5-9a,6.2,mt,276.3,56.5,71.0,9,9,9,0,t,8.8873,100,36.2825,-111.891389,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,9.0,6.5,25.3,186.8
CB4,Grand Canyon,CB4-2:CB4-3:CB4-4:CB4-5:CB4-6:CB4-7:CB4-8,CB4-2a:CB4-3a:CB4-4a:CB4-5a:CB4-6a:CB4-7a:CB4-8a,10.0,mt,261.3,58.7,37.1,8,8,8,0,t,6.8,100,36.283056,-111.892778,NaN,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,11.090000120805758,14.920000460407074,16.91548291462639,196.93789535954642
CB6,Grand Canyon,CB6-1:CB6-2:CB6-3:CB6-4:CB6-5:CB6-6:CB6-7:CB6-8,CB6-1a:CB6-2a:CB6-3a:CB6-4a:CB6-5a:CB6-6a:CB6-7a:CB6-8a,5.9,mt,252.7,47.0,88.0,8,8,8,0,t,7.9202,100,36.145833,-111.8275,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,7.6,4.9,3.8,190.7
CB7,Grand Canyon,CB7-1:CB7-2:CB7-3:CB7-4:CB7-5:CB7-6:CB7-7:CB7-8,CB7-1a:CB7-2a:CB7-3a:CB7-4a:CB7-5a:CB7-6a:CB7-7a:CB7-8a,5.4,mt,269.9,42.5,106.0,8,8,8,0,t,7.9337,100,36.14643,-111.82692,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,6.7,4.1,14.1,178.5
CB10,Grand Canyon,CB10-1:CB10-2:CB10-4:CB10-5:CB10-6:CB10-7:CB10-8,CB10-1a:CB10-2a:CB10-4a:CB10-5a:CB10-6a:CB10-7a:CB10-8a,6.5,mt,273.9,38.0,88.0,7,7,7,0,t,6.9322,100,36.1075,-111.848889,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,7.7,4.5,15.4,173.6
CB12,Grand Canyon,CB12-1:CB12-2:CB12-3:CB12-4:CB12-5:CB12-6:CB12-7:CB12-8,CB12-1a:CB12-2a:CB12-3a:CB12-4a:CB12-5a:CB12-6a:CB12-7a:CB12-8a,4.0,mt,268.8,42.0,193.0,8,8,8,0,t,7.9637,100,36.11,-111.853056,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,4.9,3.0,13.1,178.8
CB13,Grand Canyon,CB13-1:CB13-2:CB13-3:CB13-4:CB13-5:CB13-6:CB13-7,CB13-1a:CB13-2a:CB13-3a:CB13-4a:CB13-5a:CB13-6a:CB13-7a,5.9,mt,267.0,6.1,107.0,7,7,7,0,t,6.9441,100,36.11012,-111.85416,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,5.9,3.0,-0.6,162.4
CB14,Grand Canyon,CB14-2:CB14-3:CB14-4:CB14-5:CB14-6:CB14-7:CB14-8,CB14-2a:CB14-3a:CB14-4a:CB14-5a:CB14-6a:CB14-7a:CB14-8a,2.7,mt,259.4,52.9,514.0,7,7,7,0,t,6.9883,100,36.110833,-111.855278,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,3.7,2.6,11.6,191.3
CB15,Grand Canyon,CB15-1:CB15-2:CB15-3:CB15-4:CB15-5:CB15-6,CB15-1a:CB15-2a:CB15-3a:CB15-4a:CB15-5a:CB15-6a,7.1,mt,263.3,45.7,89.0,6,6,6,0,t,5.9438,100,36.11026,-111.85332,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,9.0,5.8,10.7,184.1
CB16,Grand Canyon,CB16-1:CB16-3:CB16-4:CB16-5:CB16-6:CB16-7:CB16-8,CB16-1a:CB16-3a:CB16-4a:CB16-5a:CB16-6a:CB16-7a:CB16-8a,7.7,mt,266.2,17.5,63.0,7,7,7,0,t,6.9043,100,36.11,-111.854722,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,8.0,4.1,2.2,167.6
CB17,Grand Canyon,CB17-1:CB17-2:CB17-3:CB17-4:CB17-5:CB17-6:CB17-7:CB17-8,CB17-1a:CB17-2a:CB17-3a:CB17-4a:CB17-5a:CB17-6a:CB17-7a:CB17-8a,3.5,mt,264.8,49.3,253.0,8,8,8,0,t,7.9723,100,36.111389,-111.855278,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO,g,4.6,3.1,13.5,185.9
CB18,Grand Canyon,CB18-1:CB18-2:CB18-4:CB18-5:CB18-6:CB18-7:CB18-8,CB18-1a:CB18-2a:CB18-4a:CB18-5a:CB18-6a:CB18-7a:CB18-8a,6.1,mt,285.6,52.3,98.0,7,7,7,0,t,6.939,100,36.111667,-111.855833,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO,g,8.4,5.7,30.2,178.9
CB8,Grand Canyon,CB8-1:CB8-2:CB8-3:CB8-4:CB8-5:CB8-6:CB8-7:CB8-8,CB8-1a:CB8-2a:CB8-3a:CB8-4a:CB8-5a:CB8-6a:CB8-7a:CB8-8a,4.8,mt,272.7,38.5,132.0,8,8,8,0,t,7.9469,100,36.107222,-111.848611,,ACCEPT,pmagpy-4.2.24-1: demag_gui.v.3.0,This study,LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO,g,5.7,3.4,14.7,174.5
