tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
CB1-1a_LP-DIR-T-1	CB1-1a_LP-DIR-T	CB1-1a	0.4	129.6	85.5	0	0	0.0	0.0	0	273.0	This study	hargrave 2021-09-04 14:40:28	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.24-1	1.86e-06	1.29e-08	4.8100000000000006e-09	2.74e-09
CB1-1a_LP-DIR-T-2	CB1-1a_LP-DIR-T	CB1-1a	0.3	132.7	85.7	0	0	0.0	0.0	1	273.0	This study	hargrave 2021-09-05 14:29:07	LT-NO:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.24-1	1.83e-06	5.95e-09	8.53e-09	1.95e-09
CB1-1a_LP-DIR-T-3	CB1-1a_LP-DIR-T	CB1-1a	0.5	355.4	86.8	0	0	0.0	0.0	2	473.0	This study	hargrave 2021-09-06 13:09:14	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.24-1	1.61e-06	4.61e-09	1.17e-08	2.44e-09
CB1-1a_LP-DIR-T-4	CB1-1a_LP-DIR-T	CB1-1a	0.3	336.6	80.0	0	0	0.0	0.0	3	573.0	This study	hargrave 2021-09-07 11:40:56	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.24-1	1.45e-06	5.6000000000000005e-09	3.79e-09	4.020000000000001e-09
CB1-1a_LP-DIR-T-5	CB1-1a_LP-DIR-T	CB1-1a	0.3	331.4	77.2	0	0	0.0	0.0	4	598.0	This study	hargrave 2021-09-08 08:39:06	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.24-1	1.37e-06	3.1e-09	5.31e-09	6.759999999999998e-09
CB1-1a_LP-DIR-T-6	CB1-1a_LP-DIR-T	CB1-1a	1.0	331.5	75.2	0	0	0.0	0.0	5	623.0	This study	hargrave 2021-09-08 15:52:35	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.24-1	1.25e-06	8.909999999999998e-09	2e-08	4.65e-09
CB1-1a_LP-DIR-T-7	CB1-1a_LP-DIR-T	CB1-1a	0.4	330.0	73.1	0	0	0.0	0.0	6	648.0	This study	hargrave 2021-09-10 08:04:02	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.24-1	1.14e-06	2.47e-09	7.74e-09	5.97e-09
CB1-1a_LP-DIR-T-8	CB1-1a_LP-DIR-T	CB1-1a	1.5	329.6	72.5	0	0	0.0	0.0	7	673.0	This study	hargrave 2021-09-13 08:03:32	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.24-1	1.06e-06	9.63e-09	2.65e-08	4.96e-09
CB1-1a_LP-DIR-T-9	CB1-1a_LP-DIR-T	CB1-1a	0.3	330.4	71.4	0	0	0.0	0.0	8	698.0	This study	hargrave 2021-09-27 08:38:51	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.24-1	9.8e-07	3.08e-09	4.37e-09	4.4700000000000005e-09
CB1-1a_LP-DIR-T-10	CB1-1a_LP-DIR-T	CB1-1a	1.9	328.7	71.4	0	0	0.0	0.0	9	723.0	This study	hargrave 2021-09-27 18:02:08	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.24-1	9.37e-07	1.6100000000000002e-08	2.6e-08	4.2e-09
CB1-1a_LP-DIR-T-11	CB1-1a_LP-DIR-T	CB1-1a	1.4	327.6	71.0	0	0	0.0	0.0	10	748.0	This study	hargrave 2021-10-14 15:23:25	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-4.2.24-1	8.82e-07	1.27e-08	1.78e-08	3.18e-09
CB1-1a_LP-DIR-T-12	CB1-1a_LP-DIR-T	CB1-1a	1.0	330.7	70.8	0	0	0.0	0.0	11	773.0	This study	hargrave 2021-10-16 13:17:32	LT-T-Z:LP-DIR-T	g	12	u	8	273			pmagpy-4.2.24-1	8.170000000000002e-07	8.329999999999999e-09	1.1e-08	4.13e-09
