tab	samples												
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
CS3-1	CS3	0.3	Intrusive:Igneous	Diabase	Diabase		-22.8	0	23.2	126.5	-22	This study	SO-CMD-NORTH
CS3-2	CS3	0.05	Intrusive:Igneous	Diabase	Diabase		268.2	0	23.2	126.5	-27	This study	SO-CMD-NORTH
CS3-4	CS3	0.2	Intrusive:Igneous	Diabase	Diabase		-72.8	0	23.2	126.5	-27	This study	SO-CMD-NORTH
CS3-5	CS3	0.1	Intrusive:Igneous	Diabase	Diabase		-38.8	0	23.2	126.5	-20	This study	SO-CMD-NORTH
CS3-6	CS3	0.05	Intrusive:Igneous	Diabase	Diabase		-62.8	0	23.2	126.5	-28	This study	SO-CMD-NORTH
CS3-7	CS3	0.1	Intrusive:Igneous	Diabase	Diabase		-39.8	0	23.2	126.5	-18	This study	SO-CMD-NORTH
CS3-8	CS3	0.1	Intrusive:Igneous	Diabase	Diabase		-7.8	0	23.2	126.5	-9	This study	SO-CMD-NORTH
CS4-1	CS4	2.9	Intrusive:Igneous	Diabase	Diabase		20.2	0	33.1	164	-36	This study	SO-CMD-NORTH
CS4-2	CS4	2.9	Intrusive:Igneous	Diabase	Diabase		104.2	0	33.1	164	-56	This study	SO-CMD-NORTH
CS4-3	CS4	2.9	Intrusive:Igneous	Diabase	Diabase		-1.8	0	33.1	164	-35	This study	SO-CMD-NORTH
CS4-4	CS4	2.6	Intrusive:Igneous	Diabase	Diabase		14.2	0	33.1	164	-19	This study	SO-CMD-NORTH
CS4-5	CS4	0.4	Intrusive:Igneous	Diabase	Diabase		-18.8	0	33.1	164	-31	This study	SO-CMD-NORTH
CS4-6	CS4	2.6	Intrusive:Igneous	Diabase	Diabase		-8.8	0	33.1	164	-29	This study	SO-CMD-NORTH
CS4-7	CS4	0.5	Intrusive:Igneous	Diabase	Diabase		266.2	0	33.1	164	-63	This study	SO-CMD-NORTH
CS4-8	CS4	0.6	Intrusive:Igneous	Diabase	Diabase		8.2	0	33.1	164	-61	This study	SO-CMD-NORTH
CS4-9	CS4	0.7	Intrusive:Igneous	Diabase	Diabase		154.2	0	33.1	164	-43	This study	SO-CMD-NORTH
CS5-1	CS5	0.3	Intrusive:Igneous	Diabase	Diabase		190.2	0	54.9	441.2	-84	This study	SO-CMD-NORTH
CS5-2	CS5	0.7	Intrusive:Igneous	Diabase	Diabase		-53.8	0	54.9	441.2	-14	This study	SO-CMD-NORTH
CS5-3	CS5	1	Intrusive:Igneous	Diabase	Diabase		248.2	0	54.9	441.2	-33	This study	SO-CMD-NORTH
CS5-4	CS5	1	Intrusive:Igneous	Diabase	Diabase		216.2	0	54.9	441.2	-3	This study	SO-CMD-NORTH
CS5-5	CS5	0.4	Intrusive:Igneous	Diabase	Diabase		272.2	0	54.9	441.2	-22	This study	SO-CMD-NORTH
CS5-6	CS5	1.8	Intrusive:Igneous	Diabase	Diabase		-74.8	0	54.9	441.2	-36	This study	SO-CMD-NORTH
CS5-8	CS5	2.2	Intrusive:Igneous	Diabase	Diabase		119.2	0	54.9	441.2	-53	This study	SO-CMD-NORTH
CS7-2	CS7	1.8	Intrusive:Igneous	Diabase	Diabase		43.4	0	61.5	106.3	-29	This study	SO-CMD-NORTH
CS7-3	CS7	1.9	Intrusive:Igneous	Diabase	Diabase		38.5	0	61.5	106.3	-25	This study	SO-CMD-NORTH
CS7-4	CS7	11.4	Intrusive:Igneous	Diabase	Diabase		-36.7	0	61.5	106.3	-35	This study	SO-CMD-NORTH
